25-02-25 21:15:47.700 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping... 
25-02-25 21:15:54.937 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.6+9-LTS-190"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='admin', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@391d1e33, com.mongodb.Jep395RecordCodecProvider@66f16742, com.mongodb.KotlinCodecProvider@2871ac91]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.dp01ztl.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-jdzqnp-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
25-02-25 21:15:54.954 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-srv-cluster0.dp01ztl.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017 to client view of cluster 
25-02-25 21:15:54.957 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-srv-cluster0.dp01ztl.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017 to client view of cluster 
25-02-25 21:15:55.562 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=351516300, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7d3d4436efc18f8b289e, counter=3}, lastWriteDate=Tue Feb 25 21:15:55 IST 2025, lastUpdateTimeNanos=296171591767900} 
25-02-25 21:15:55.637 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider 
25-02-25 21:15:55.638 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. 
25-02-25 21:15:55.939 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html] 
25-02-25 21:15:56.336 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=118623400, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000009f, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7b451c4e77a4705580b0, counter=6}, lastWriteDate=Tue Feb 25 21:15:56 IST 2025, lastUpdateTimeNanos=296172367780000} 
25-02-25 21:15:56.337 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017 with max election id 7fffffff000000000000009f and max set version 184 
25-02-25 21:15:56.413 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"] 
25-02-25 21:15:56.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/' 
25-02-25 21:15:56.440 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting... 
25-02-25 21:15:56.441 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4dffff9]] 
25-02-25 21:15:56.441 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started. 
25-02-25 21:15:56.450 [main] INFO  com.xchat.xchat.XchatApplication - Started XchatApplication in 4.828 seconds (process running for 5.566) 
25-02-25 21:15:57.384 [cluster-ClusterId{value='67bde5b219a8486fc5d22c5f', description='null'}-ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=79666900, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7c3d2b045c3a63c0e2b2, counter=4}, lastWriteDate=Tue Feb 25 21:15:57 IST 2025, lastUpdateTimeNanos=296173415141100} 
