25-02-25 21:20:40.925 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping... 
25-02-25 21:20:49.437 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-srv-cluster0.dp01ztl.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017 to client view of cluster 
25-02-25 21:20:49.447 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-srv-cluster0.dp01ztl.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017 to client view of cluster 
25-02-25 21:20:50.013 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321341000, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7d3d4436efc18f8b289e, counter=3}, lastWriteDate=Tue Feb 25 21:20:49 IST 2025, lastUpdateTimeNanos=296466040932000} 
25-02-25 21:20:50.013 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321315200, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000009f, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7b451c4e77a4705580b0, counter=6}, lastWriteDate=Tue Feb 25 21:20:49 IST 2025, lastUpdateTimeNanos=296466040932100} 
25-02-25 21:20:50.019 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017 with max election id 7fffffff000000000000009f and max set version 184 
25-02-25 21:20:50.203 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider 
25-02-25 21:20:50.203 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. 
25-02-25 21:20:50.497 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html] 
25-02-25 21:20:50.996 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"] 
25-02-25 21:20:51.021 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/' 
25-02-25 21:20:51.023 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting... 
25-02-25 21:20:51.025 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@2904bc56]] 
25-02-25 21:20:51.026 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started. 
25-02-25 21:20:51.034 [main] INFO  com.xchat.xchat.XchatApplication - Started XchatApplication in 4.449 seconds (process running for 5.21) 
25-02-25 21:20:51.796 [cluster-ClusterId{value='67bde6d92eb0cf25540e221b', description='null'}-ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=79325700, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=184, topologyVersion=TopologyVersion{processId=67ba7c3d2b045c3a63c0e2b2, counter=4}, lastWriteDate=Tue Feb 25 21:20:51 IST 2025, lastUpdateTimeNanos=296467827274200} 
